supraregion	method	hemi	index	name	color
Amygdala	F	lh	18	amygd-lh-amygdala	#67ffff
Amygdala	I	lh	7001	amygd-lh-lateral-nucleus	#4884b5
Amygdala	I	lh	7003	amygd-lh-basal-nucleus	#cf3f4f
Amygdala	I	lh	7005	amygd-lh-central-nucleus	#c53cf8
Amygdala	I	lh	7006	amygd-lh-medial-nucleus	#029502
Amygdala	I	lh	7007	amygd-lh-cortical-nucleus	#ddf9a6
Amygdala	I	lh	7008	amygd-lh-accessory-basal-nucleus	#e89223
Amygdala	I	lh	7009	amygd-lh-corticoamygdaloid-transitio	#143c78
Amygdala	I	lh	7010	amygd-lh-anterior-amygdaloid-area-aaa	#fafa00
Amygdala	I	lh	7015	amygd-lh-paralaminar-nucleus	#2dcda5
Amygdala	R	lh	18	amygd-lh-amygdala	#67ffff
Amygdala	F	rh	54	amygd-rh-amygdala	#67ffff
Amygdala	I	rh	7001	amygd-rh-lateral-nucleus	#4884b5
Amygdala	I	rh	7003	amygd-rh-basal-nucleus	#cf3f4f
Amygdala	I	rh	7005	amygd-rh-central-nucleus	#c53cf8
Amygdala	I	rh	7006	amygd-rh-medial-nucleus	#029502
Amygdala	I	rh	7007	amygd-rh-cortical-nucleus	#ddf9a6
Amygdala	I	rh	7008	amygd-rh-accessory-basal-nucleus	#e89223
Amygdala	I	rh	7009	amygd-rh-corticoamygdaloid-transitio	#143c78
Amygdala	I	rh	7010	amygd-rh-anterior-amygdaloid-area-aaa	#fafa00
Amygdala	I	rh	7015	amygd-rh-paralaminar-nucleus	#2dcda5
Amygdala	R	rh	54	amygd-rh-amygdala	#67ffff
