supraregion	method	hemi	index	name	color	opacity
Hippocampus	F	lh	17	hipp-lh-hippocampus	#dcd814	1
Hippocampus	I	lh	203	hipp-lh-parasubiculum	#afaf4b	1
Hippocampus	I	lh	233	hipp-lh-presubiculum-head	#200020	1
Hippocampus	I	lh	235	hipp-lh-subiculum-head	#0000af	1
Hippocampus	I	lh	237	hipp-lh-ca1-head	#af4b4b	1
Hippocampus	I	lh	239	hipp-lh-ca3-head	#005000	1
Hippocampus	I	lh	241	hipp-lh-ca4-head	#785a32	1
Hippocampus	I	lh	243	hipp-lh-gc-ml-dg-head	#4b7daf	1
Hippocampus	I	lh	245	hipp-lh-molecular-layer-hp-head	#641919	1
Hippocampus	I	lh	211	hipp-lh-hata	#80ff80	1
Hippocampus	I	lh	234	hipp-lh-presubiculum-body	#400040	1
Hippocampus	I	lh	236	hipp-lh-subiculum-body	#0000ff	1
Hippocampus	I	lh	238	hipp-lh-ca1-body	#ff0000	1
Hippocampus	I	lh	240	hipp-lh-ca3-body	#008000	1
Hippocampus	I	lh	242	hipp-lh-ca4-body	#c4a080	1
Hippocampus	I	lh	244	hipp-lh-gc-ml-dg-body	#20c8ff	1
Hippocampus	I	lh	246	hipp-lh-molecular-layer-hp-body	#800000	1
Hippocampus	I	lh	212	hipp-lh-fimbria	#cc99cc	1
Hippocampus	I	lh	226	hipp-lh-hp-tail	#aaaaff	1
Hippocampus	I	lh	215	hipp-lh-hippocampal-fissure	#8020ff	1
Hippocampus	H	lh	232	hipp-lh-hippocampus-head	#ff0000	1
Hippocampus	H	lh	231	hipp-lh-hippocampus-body	#00ff00	1
Hippocampus	H	lh	226	hipp-lh-hippocampus-tail	#ffff00	1
Hippocampus	H	lh	215	hipp-lh-hippocampus-fissure	#ff7b00	1
Hippocampus	R	lh	17	hipp-lh-hippocampus	#dcd814	1
Hippocampus	F	rh	53	hipp-rh-hippocampus	#dcd814	1
Hippocampus	I	rh	203	hipp-rh-parasubiculum	#afaf4b	1
Hippocampus	I	rh	233	hipp-rh-presubiculum-head	#200020	1
Hippocampus	I	rh	235	hipp-rh-subiculum-head	#0000af	1
Hippocampus	I	rh	237	hipp-rh-ca1-head	#af4b4b	1
Hippocampus	I	rh	239	hipp-rh-ca3-head	#005000	1
Hippocampus	I	rh	241	hipp-rh-ca4-head	#785a32	1
Hippocampus	I	rh	243	hipp-rh-gc-ml-dg-head	#4b7daf	1
Hippocampus	I	rh	245	hipp-rh-molecular-layer-hp-head	#641919	1
Hippocampus	I	rh	211	hipp-rh-hata	#80ff80	1
Hippocampus	I	rh	234	hipp-rh-presubiculum-body	#400040	1
Hippocampus	I	rh	236	hipp-rh-subiculum-body	#0000ff	1
Hippocampus	I	rh	238	hipp-rh-ca1-body	#ff0000	1
Hippocampus	I	rh	240	hipp-rh-ca3-body	#008000	1
Hippocampus	I	rh	242	hipp-rh-ca4-body	#c4a080	1
Hippocampus	I	rh	244	hipp-rh-gc-ml-dg-body	#20c8ff	1
Hippocampus	I	rh	246	hipp-rh-molecular-layer-hp-body	#800000	1
Hippocampus	I	rh	212	hipp-rh-fimbria	#cc99cc	1
Hippocampus	I	rh	226	hipp-rh-hp-tail	#aaaaff	1
Hippocampus	I	rh	215	hipp-rh-hippocampal-fissure	#8020ff	1
Hippocampus	H	rh	232	hipp-rh-hippocampus-head	#ff0000	1
Hippocampus	H	rh	231	hipp-rh-hippocampus-body	#00ff00	1
Hippocampus	H	rh	226	hipp-rh-hippocampus-tail	#ffff00	1
Hippocampus	H	rh	215	hipp-rh-hippocampus-fissure	#ff7b00	1
Hippocampus	R	rh	53	hipp-rh-hippocampus	#dcd814	1
